Christopher Miller,155267,2,137106
John Pasquin,58072,2,10040
Rob Bowman,12523,2,6278
Ruben Fleischer,91268,2,82682
Harold Ramis,1524,2,17610
Clint Eastwood,190,2,22954
Kevin Macdonald,17350,2,16995
Tony Gilroy,19242,2,16558
Donald Petrie,18281,2,9849
Clark Johnson,47640,2,5820
Jorge Blanco,117052,2,16866
Javier Abad,968303,2,16866
Marcos Martínez,1158156,0,16866
Stuart Baird,2523,2,201
Joel Coen,1223,0,11775
Robert Lorenz,4746,2,87825
Martin Campbell,10702,2,12201
Peter Hyams,37710,2,11015
Harold Ramis,1524,2,9932
Jon Avnet,18250,2,13389
Harold Becker,23213,2,8838
Joe Wright,36588,2,17332
Robert Redford,4135,2,4958
Cameron Crowe,11649,2,786
Tim Hill,49903,2,9513
Lee Tamahori,7256,2,11679
Scott Stewart,116357,0,38321
Tim Johnson,52870,2,14411
Patrick Gilmore,1205756,0,14411
Paul W.S. Anderson,4014,2,8413
Tom Shadyac,4499,2,10052
Brian De Palma,1150,2,9676
Tony Bill,57138,2,9664
Rod Lurie,21526,2,2100
Walter Hill,1723,2,10384
Jack Sholder,62020,2,10384
Akiva Goldsman,5575,2,137321
Harald Zwart,21981,2,123553
